GRID_SIZE;NUM_MINOR_CYCLES;NUM_VISIBILITIES;Schedulability;Power;Latency;DurationII;Memory;AskedCuts;AskedPrecuts
512.0;50.0;1308160.0;true;211;2;31270;0;0;0
1024.0;50.0;1308160.0;true;211;2;35980;0;0;0
1536.0;50.0;1308160.0;true;211;2;44285;0;0;0
512.0;100.0;1308160.0;true;211;2;31270;0;0;0
1024.0;100.0;1308160.0;true;211;2;35980;0;0;0
1536.0;100.0;1308160.0;true;211;2;44285;0;0;0
512.0;150.0;1308160.0;true;211;2;31270;0;0;0
1024.0;150.0;1308160.0;true;211;2;35980;0;0;0
1536.0;150.0;1308160.0;true;211;2;44285;0;0;0
512.0;50.0;1962240.0;true;211;2;31270;0;0;0
1024.0;50.0;1962240.0;true;211;2;35980;0;0;0
1536.0;50.0;1962240.0;true;211;2;44285;0;0;0
512.0;100.0;1962240.0;true;211;2;31270;0;0;0
1024.0;100.0;1962240.0;true;211;2;35980;0;0;0
1536.0;100.0;1962240.0;true;211;2;44285;0;0;0
512.0;150.0;1962240.0;true;211;2;31270;0;0;0
1024.0;150.0;1962240.0;true;211;2;35980;0;0;0
1536.0;150.0;1962240.0;true;211;2;44285;0;0;0
512.0;50.0;2616320.0;true;211;2;31290;0;0;0
1024.0;50.0;2616320.0;true;211;2;36000;0;0;0
1536.0;50.0;2616320.0;true;211;2;44285;0;0;0
512.0;100.0;2616320.0;true;211;2;31290;0;0;0
1024.0;100.0;2616320.0;true;211;2;36000;0;0;0
1536.0;100.0;2616320.0;true;211;2;44285;0;0;0
512.0;150.0;2616320.0;true;211;2;31290;0;0;0
1024.0;150.0;2616320.0;true;211;2;36000;0;0;0
1536.0;150.0;2616320.0;true;211;2;44285;0;0;0
